point_name,point_code,base_time,forecast_hour,valid_time,variable,value,forecast_type
금산,8000238,2026-05-10 20:00:00,1.0,2026-05-10 21:00:00,PCP,0.0,VSRT
금산,8000238,2026-05-10 20:00:00,2.0,2026-05-10 22:00:00,PCP,0.0,VSRT
금산,8000238,2026-05-10 20:00:00,3.0,2026-05-10 23:00:00,PCP,0.0,VSRT
금산,8000238,2026-05-10 20:00:00,4.0,2026-05-11 00:00:00,PCP,0.0,VSRT
금산,8000238,2026-05-10 20:00:00,5.0,2026-05-11 01:00:00,PCP,0.0,VSRT
금산,8000238,2026-05-10 20:00:00,6.0,2026-05-11 02:00:00,PCP,0.0,VSRT
금산,8000238,2026-05-10 20:00:00,7.0,2026-05-11 03:00:00,PCP,0.0,SHRT
금산,8000238,2026-05-10 20:00:00,8.0,2026-05-11 04:00:00,PCP,0.0,SHRT
금산,8000238,2026-05-10 20:00:00,9.0,2026-05-11 05:00:00,PCP,0.0,SHRT
금산,8000238,2026-05-10 20:00:00,10.0,2026-05-11 06:00:00,PCP,0.0,SHRT
금산,8000238,2026-05-10 20:00:00,11.0,2026-05-11 07:00:00,PCP,2.0,SHRT
금산,8000238,2026-05-10 20:00:00,12.0,2026-05-11 08:00:00,PCP,0.0,SHRT
금산,8000238,2026-05-10 20:00:00,13.0,2026-05-11 09:00:00,PCP,0.0,SHRT
금산,8000238,2026-05-10 20:00:00,14.0,2026-05-11 10:00:00,PCP,0.0,SHRT
금산,8000238,2026-05-10 20:00:00,15.0,2026-05-11 11:00:00,PCP,0.0,SHRT
금산,8000238,2026-05-10 20:00:00,16.0,2026-05-11 12:00:00,PCP,2.0,SHRT
금산,8000238,2026-05-10 20:00:00,17.0,2026-05-11 13:00:00,PCP,3.0,SHRT
금산,8000238,2026-05-10 20:00:00,18.0,2026-05-11 14:00:00,PCP,2.0,SHRT
금산,8000238,2026-05-10 20:00:00,19.0,2026-05-11 15:00:00,PCP,0.0,SHRT
금산,8000238,2026-05-10 20:00:00,20.0,2026-05-11 16:00:00,PCP,0.0,SHRT
금산,8000238,2026-05-10 20:00:00,21.0,2026-05-11 17:00:00,PCP,2.0,SHRT
금산,8000238,2026-05-10 20:00:00,22.0,2026-05-11 18:00:00,PCP,0.0,SHRT
금산,8000238,2026-05-10 20:00:00,23.0,2026-05-11 19:00:00,PCP,0.0,SHRT
금산,8000238,2026-05-10 20:00:00,24.0,2026-05-11 20:00:00,PCP,0.0,SHRT
금산,8000238,2026-05-10 20:00:00,25.0,2026-05-11 21:00:00,PCP,0.0,SHRT
금산,8000238,2026-05-10 20:00:00,26.0,2026-05-11 22:00:00,PCP,0.0,SHRT
금산,8000238,2026-05-10 20:00:00,27.0,2026-05-11 23:00:00,PCP,0.0,SHRT
금산,8000238,2026-05-10 20:00:00,28.0,2026-05-12 00:00:00,PCP,0.0,SHRT
금산,8000238,2026-05-10 20:00:00,29.0,2026-05-12 01:00:00,PCP,0.0,SHRT
금산,8000238,2026-05-10 20:00:00,30.0,2026-05-12 02:00:00,PCP,0.0,SHRT
금산,8000238,2026-05-10 20:00:00,31.0,2026-05-12 03:00:00,PCP,0.0,SHRT
금산,8000238,2026-05-10 20:00:00,32.0,2026-05-12 04:00:00,PCP,0.0,SHRT
금산,8000238,2026-05-10 20:00:00,33.0,2026-05-12 05:00:00,PCP,0.0,SHRT
금산,8000238,2026-05-10 20:00:00,34.0,2026-05-12 06:00:00,PCP,0.0,SHRT
금산,8000238,2026-05-10 20:00:00,35.0,2026-05-12 07:00:00,PCP,0.0,SHRT
금산,8000238,2026-05-10 20:00:00,36.0,2026-05-12 08:00:00,PCP,1.0,SHRT
금산,8000238,2026-05-10 20:00:00,37.0,2026-05-12 09:00:00,PCP,0.0,SHRT
